item_id_ml,tipo,cuotas_reales,cuotas_mostradas,fecha
MLA2837385248,colchon,0,0,2026-04-27 09:36
MLA1140367112,colchon,3,6,2026-04-27 09:36
MLA2837333438,colchon,6,9,2026-04-27 09:36
MLA3079440734,colchon,9,12,2026-04-27 09:36
MLA3079440818,colchon,12,18,2026-04-27 09:36
MLA2245650024,sommier,0,0,2026-04-27 09:36
MLA3180089684,sommier,3,6,2026-04-27 09:37
MLA2245533190,sommier,6,9,2026-04-27 09:37
MLA3180053196,sommier,9,12,2026-04-27 09:37
MLA1745509875,sommier,12,12,2026-04-27 09:37
